
央视,#genre#

CCTV1,http://10.10.10.253:8188/udp/239.49.8.19:9614

CCTV2,http://10.10.10.253:8188/udp/239.49.8.50:9802

CCTV3,http://10.10.10.253:8188/udp/239.49.8.74:8000

CCTV4,http://10.10.10.253:8188/udp/239.49.8.51:9806

CCTV5,http://10.10.10.253:8188/udp/239.49.8.75:8000

CCTV6,http://10.10.10.253:8188/udp/239.49.8.76:8000

CCTV7,http://10.10.10.253:8188/udp/239.49.0.126:8000

CCTV8,http://10.10.10.253:8188/udp/239.49.8.77:8000

CCTV9,http://10.10.10.253:8188/udp/239.49.8.53:9814

CCTV10,http://10.10.10.253:8188/udp/239.49.8.54:9818

CCTV11,http://10.10.10.253:8188/udp/239.49.0.127:8000

CCTV12,http://10.10.10.253:8188/udp/239.49.8.55:9822

CCTV13,http://10.10.10.253:8188/udp/239.49.8.109:8000

CCTV14,http://10.10.10.253:8188/udp/239.49.8.56:9826

CCTV15,http://10.10.10.253:8188/udp/239.49.0.128:8000

CCTV16,http://10.10.10.253:8188/udp/239.49.8.31:8000

CCTV164K（SDR）,http://10.10.10.253:8188/udp/239.49.0.109:8000

CCTV17,http://10.10.10.253:8188/udp/239.49.8.52:9810

CCTV5+,http://10.10.10.253:8188/udp/239.49.8.18:9610

CGTN俄语,http://10.10.10.253:8188/udp/239.49.0.111:8000

CCTV,#genre#

第一剧场,http://10.10.10.253:8188/udp/239.49.8.94:8000

电视指南,http://10.10.10.253:8188/udp/239.49.8.84:8000

风云足球,http://10.10.10.253:8188/udp/239.49.8.85:8000

高尔夫网球,http://10.10.10.253:8188/udp/239.49.8.86:8000

世界地理,http://10.10.10.253:8188/udp/239.49.8.87:8000

兵器科技,http://10.10.10.253:8188/udp/239.49.8.88:8000

风云剧场,http://10.10.10.253:8188/udp/239.49.8.89:8000

央视怀旧剧场,http://10.10.10.253:8188/udp/239.49.8.91:8000

风云音乐,http://10.10.10.253:8188/udp/239.49.8.92:8000

央视台球,http://10.10.10.253:8188/udp/239.49.8.32:8000

地方,#genre#

泰兴新闻综合,http://10.10.10.253:8188/udp/239.49.0.168:8000

泰州新闻综合,http://10.10.10.253:8188/udp/239.49.0.215:8000

泰州二套新,http://10.10.10.253:8188/udp/239.49.0.217:8000

泰州三套,http://10.10.10.253:8188/udp/239.49.0.222:8000

江苏城市,http://10.10.10.253:8188/udp/239.49.8.107:8000

江苏影视,http://10.10.10.253:8188/udp/239.49.8.118:8000

江苏综艺,http://10.10.10.253:8188/udp/239.49.8.108:8000

江苏体育休闲,http://10.10.10.253:8188/udp/239.49.8.117:8000

江苏教育,http://10.10.10.253:8188/udp/239.49.8.122:8000

江苏新闻,http://10.10.10.253:8188/udp/239.49.0.149:9186

江苏新闻,http://10.10.10.253:8188/udp/239.49.8.120:8000

金鹰纪实,http://10.10.10.253:8188/udp/239.49.8.79:8000

金鹰卡通,http://10.10.10.253:8188/udp/239.49.8.33:8000

优漫卡通,http://10.10.10.253:8188/udp/239.49.8.119:8000

CETV1,http://10.10.10.253:8188/udp/239.49.8.115:8000

CETV4,http://10.10.10.253:8188/udp/239.49.0.125:8000

精彩推荐高清,http://10.10.10.253:8188/udp/239.49.8.34:8612



卫视,#genre#

江苏卫视,http://10.10.10.253:8188/udp/239.49.8.16:9602

广西卫视,http://10.10.10.253:8188/udp/239.49.8.10:8000

天津卫视,http://10.10.10.253:8188/udp/239.49.8.35:8620

浙江卫视,http://10.10.10.253:8188/udp/239.49.8.20:9618

重庆卫视,http://10.10.10.253:8188/udp/239.49.8.57:9830

辽宁卫视,http://10.10.10.253:8188/udp/239.49.8.48:8000

海南卫视,http://10.10.10.253:8188/udp/239.49.8.83:8000

四川卫视,http://10.10.10.253:8188/udp/239.49.8.110:8000

江西卫视,http://10.10.10.253:8188/udp/239.49.8.111:8000

东南卫视,http://10.10.10.253:8188/udp/239.49.8.112:8000

吉林卫视,http://10.10.10.253:8188/udp/239.49.8.113:8000

河北卫视,http://10.10.10.253:8188/udp/239.49.8.114:8000

东方卫视,http://10.10.10.253:8188/udp/239.49.8.17:9606

北京卫视,http://10.10.10.253:8188/udp/239.49.8.11:9414

湖南卫视,http://10.10.10.253:8188/udp/239.49.8.12:9418

广东卫视,http://10.10.10.253:8188/udp/239.49.8.13:9422

黑龙江卫视,http://10.10.10.253:8188/udp/239.49.8.14:9426

深圳卫视,http://10.10.10.253:8188/udp/239.49.8.15:9430

云南卫视,http://10.10.10.253:8188/udp/239.49.0.177:8000

山东卫视,http://10.10.10.253:8188/udp/239.49.8.7:9306

贵州卫视,http://10.10.10.253:8188/udp/239.49.8.49:8000

安徽卫视,http://10.10.10.253:8188/udp/239.49.8.80:8000

湖北卫视,http://10.10.10.253:8188/udp/239.49.8.8:9632

河南卫视,http://10.10.10.253:8188/udp/239.49.8.29:8000

三沙卫视,http://10.10.10.253:8188/udp/239.49.0.167:8000



